id,tanggal,platform,topik,teks
604,5 hours ago (edited),YouTube,Makan Bergizi Gratis,Ada yg tau gak kenapa baniir di Sumatera dan aceh tidak masuk bencana nasional....faktanya banjir di Sumatera murni akibat ulah manusia dan perusahaan yg telah merusak hutan terbukti pas banjir kayu gelondongan pada ngambang akibat pembalakan liar..anehnya pemerintah daerah disitu diam saja saat hutan habis di rusak...ini ada apa? Beda sama tsunami kecil krakatau di anyer itu masuk bencana nasional...karena ini murni dr alam.. jd negara ada aturan gak bisa seenaknya buat aturan apalagi mindahin agaran tanpa perencanaan..minimal jd anggota parlemen dpd maupun dpr harusnya S2..minimal pinter lah
605,5 hours ago,YouTube,Makan Bergizi Gratis,"Betul mbg di hentikan,tak bermutu. Tempat para koruptor berkumpul. Setuju pak ....anggaran MBG besar,coba di gunakan buat daerah pedalaman yang tidak ada jembatan penyeberangan anak sekolah itu lebih baik. Dan kekurangan desa desa yang tertinggal."
606,5 hours ago,YouTube,Makan Bergizi Gratis,Gue sebagai guru sangat setuju klw mbg d hentikan
607,5 hours ago,YouTube,Makan Bergizi Gratis,"Nah ya bener, mbg disetop. Dibenerin dulu baru bisa jalan."
608,5 hours ago,YouTube,Makan Bergizi Gratis,"MBG hanya memperkaya SPPG saja. Sebagain kecil rakyat dapat makan siang itu juga cuma makan siang dan itu juga cuma anaknya, sisanya jumlah rakyat yang sangat jauh lebih banyak dibebani pajak dan susah untuk berusaha. Hasilnya yang perut lapar lebih banyak dibanding yang kenyang. Bahkan seluruh masyarakat indonesia diperas keringat untuk memenuhi MBG."
609,5 hours ago,YouTube,Makan Bergizi Gratis,Setiap orang tua pasti memberikan yang terbaik untuk anaknya mending dana mbg untuk yang lebih penting contoh sekolah gratis sampai kuliah
610,5 hours ago,YouTube,Makan Bergizi Gratis,Kasir tidak akan bisa menghentikan mbg
611,5 hours ago,YouTube,Makan Bergizi Gratis,"Saya setuju apa yang di sampaikan Hotman Paris MBG di ganti dengan uang di kasih ke orang tua nya karna yang tau kesukaan  makanan anak nya yang orang tua nya udah gitu yang dapet dari no nik jadi yang punya rumah mewah ,mobil engga dapet jadi tepat sasaran 🙏"
612,5 hours ago,YouTube,Makan Bergizi Gratis,"Stop proyek MBG yg menyedot APBN yg sangat besar,masyarakat skrg butuh lapangan kerja, kesehatan gratis ,sekolah gratis dgn kualitas guru yg baik. Sementara MBG di lakukan di daerah terpencil,pemerintah hendaknya bijak dlm memberikan keputusan ,apalagi skrg ekonomi global yg tdk menentu. Lagi sulit hrs efisien anggaran
..."
613,6 hours ago,YouTube,Makan Bergizi Gratis,Nahh ini pendatang Yaman anjing ini orang
614,6 hours ago,YouTube,Makan Bergizi Gratis,Sepakattt....STOP MBG😂❤❤❤❤
615,6 hours ago,YouTube,Makan Bergizi Gratis,DPD blangsat sok sok an
616,7 hours ago,YouTube,Makan Bergizi Gratis,sulit menghilangkan budaya lama jajaran tak amanah untuk meretas ini perlu cara yang lebih tepat
617,7 hours ago,YouTube,Makan Bergizi Gratis,"Harus berhenti mbg,biar aman karena jadi ladang korupsi."
618,7 hours ago,YouTube,Makan Bergizi Gratis,Jalan masih banyak yang rusak...presiden tidak peduli dengan rakyat.. Coba saja dana mbg di alikan program jalan.. Saya yakin jalan seluruh Indonesia bagus
619,7 hours ago,YouTube,Makan Bergizi Gratis,Dpr harusnya mengesankan perampasan aset dan mbg di stop
620,8 hours ago,YouTube,Makan Bergizi Gratis,"Negara maju aja semua jalanin mbg  , dpr kok kepanasan kaga kebagian nasi lw"
621,9 hours ago,YouTube,Makan Bergizi Gratis,TEBAK DARI PARTAI MANA 😂
622,9 hours ago,YouTube,Makan Bergizi Gratis,"Klo distop...gimana nasib petani,,,buruh mbg,,,,,liat dilapangan sekarang mbg libur krn sekolah libur harga buah2 an hancur,,telor turun
Tu orang bodoh betul ngomong gkda otak"
623,10 hours ago,YouTube,Makan Bergizi Gratis,Semoga Alloh matikan semua manusia yg ambil uang Alloh/uang negara dibumi ini secepatnya sekarang
624,10 hours ago,YouTube,Makan Bergizi Gratis,"Ladang korupsi itu ya di gedung DPR, kenapa minta stop MBG? Kering ya kalian jadi ga ada duit yg bisa di korupsi?😂😂😂😂"
625,10 hours ago,YouTube,Makan Bergizi Gratis,"Terserah dunia mau kiamat kek, mau gepeng kek, mau ketabrak meteor kek, MBG no1 harus jalan, kalo perlu malaikat dapet jatah MBG pak😂😂"
626,10 hours ago,YouTube,Makan Bergizi Gratis,Yah pasti piralll soalnyah MBG menghidupkan para petani rakyat kecillll petani tulang punggung negaraa .yang nolak pasti PDI itu pasti padahal dia penghancur negara inihhh
627,10 hours ago,YouTube,Makan Bergizi Gratis,Ahhh pemimpin goblok dari awal. Orang seprti Dadan csmemang jejak apa dan prestasi apa yang dia punya.? Sampai di percayakan kelola uang sebanyak itu
628,12 hours ago,YouTube,Makan Bergizi Gratis,"Kl mbg itu tujuan nya utuk mayarakat
Ya kasih kan aja se suai anggaran
Jgn diputar puter pake sppg lah dapur bergiji lah
Ahir nya pajak kami terbuang” tdk sesuai anggara"
629,12 hours ago,YouTube,Makan Bergizi Gratis,Ya begini KLO punya pres keras kepala.
630,13 hours ago,YouTube,Makan Bergizi Gratis,"emg Bener, presiden dan niat residen udh baik, tapi pengelolaannya yg amburadul, harus di planning lebih matang"
631,13 hours ago,YouTube,Makan Bergizi Gratis,Distop aja kl hy jd ladang korupsi..toh yg diterima siswa sekolah byk makanan basi yg berujung pd keracunan
632,13 hours ago,YouTube,Makan Bergizi Gratis,"Kl pemerintah mau bantu. Kl bisa dalam satu bulan, atau 3bulan sekali. Cairkan berupa uang ke murid.kl berupa uang, satu ekonomi ke lingkungnya muter, trs ga banyak makanan jd mubazir. Karna berupa makanan pasti da yg makan da yg ga. To jd mubazir. Kl brupa uang aku yakin lbh manfaat, trs di daerahnya makin muter per ekonominya. Gitu kl pola pikir. Kl bikin program to hrs pikir dl dampaknya efeknya."
633,13 hours ago,YouTube,Makan Bergizi Gratis,"Tengok itu DPD kerjanya main hp, makanya orang tu g tau apa yang terjadi di daerah, (DPD:dewan perwakilan duduk) DPR, DPD bubarin ajalah, bikin susah aja, makan gaji buta, taunya makan gaji sama tidur, g perlu mikir, masa berita viral di bawa rapat, bawa data pak sama fakta, makanya tengok kebawah, miskin amat datanya, berita viral dibawa2, di gaji buat apa pak, nengok hp, tengok pak ke daerah jangan main hp Mulu, g guna jadi DPD, kampung saya sipirok, jln masih tanah pak, itu yang perlu bapak tengok"
634,13 hours ago,YouTube,Makan Bergizi Gratis,"Program mbg. Sbnernya program, biar anak indo bodo. Karna pa, mbg adalah alat untuk memuluskan para koruptor menjalankan aksinya. Dengan adanya mbg, ekonomi makin sulit. Karna apa. Uang nya cuman muter dikalangan orang orang besar. Sedangkan orang besar ga mungkin beli kopi eceran dipinggir jalan."
635,13 hours ago,YouTube,Makan Bergizi Gratis,dpr bukan sebuk hentikan mbg tapi sahkan uu perampasan aset aku baru bagus ini kowar2 saja
636,13 hours ago,YouTube,Makan Bergizi Gratis,Hentikan MBG atau rakyat berhenti bayar pajak. Biar yg bayar pajak para pejabat & pemilik dapur MBG
637,13 hours ago,YouTube,Makan Bergizi Gratis,Ade... emang adek bayar pajak?😂
638,13 hours ago,YouTube,Makan Bergizi Gratis,"Kondisi ekonomi negara ini sedang tidak baik baik saja, terutama daya beli masyarakat yg menurun pasar"" lesu sepi pembeli,alangkah bijaknya wowo lebih pokus memulihkan perekonomian rakyat yg sedang LESOE dan menyampingkan ego nya sejenak's."
639,14 hours ago,YouTube,Makan Bergizi Gratis,HENTIKAN MBG....!!!!!
640,14 hours ago,YouTube,Makan Bergizi Gratis,telat gajian duit dipake mbg lalu ngomel2... wkkkkk... urus itu UU perampasan aset.. malah ngomel2 kaya kena PMS...
641,14 hours ago,YouTube,Makan Bergizi Gratis,"Negara jangan cuman bisa cari untung dari rakyat. PEJABAT
Yg sopan bisa MALING, TP PEJABAT
Yg Garang bisa NgeGAROnG.
NEPALKAN MAFIA DEMOKRASI, Mafia TAMBANG.
Jabatan hasil curang cuman bisa Maling dan Maling.CABUT Keputusan kenaikan BBM.........Cuman orang bodoh, yang ngaku dirinya orang pintar...kasihan konoha punya pemimpin begini...Nasionalis mode mafia??? Nasionalis mode Kapitalis???nunggu pertalite antri 5km, apa nunggu pertalite kosong, kl th 98 itu klimaknya di angka 80%an, maka saat ini sdh menyentuh 60%an. Ya itulah inflasi....."
642,14 hours ago,YouTube,Makan Bergizi Gratis,MBG itu skala prioritas pa bisa menyerap jutaan pekerja di daerah
643,15 hours ago (edited),YouTube,Makan Bergizi Gratis,"Demi kedamaian bersama sebaiknya MBG distop 
Apalagi terlalu korup untuk dilanjutkan dan pelakunya belum tertangkap semua
Komentar ini sudah mulai diserang buzzer 😂"
644,15 hours ago,YouTube,Makan Bergizi Gratis,progam gagal total
645,15 hours ago,YouTube,Makan Bergizi Gratis,"KPD semua anggota DPD tolong ditinjau dan diperiksa anggaran MBG tahun 2027 bertambah 2 T yaitu 270 T, anggaran tahun 2026 sebesar 268 T,pada rapat dgn komisi IX DPR akan ada efisiensi sekitar 40 T,apa kurang banyak lagi uang rakyat mau dikorupsi"
646,15 hours ago,YouTube,Makan Bergizi Gratis,Yang komen di bawah aku setuju jos
647,15 hours ago,YouTube,Makan Bergizi Gratis,"Bukan skala prioritas presiden, MBG itu ide dan usulan Jokowi"
648,15 hours ago,YouTube,Makan Bergizi Gratis,"Blok, Doh bin Lol...."
649,15 hours ago,YouTube,Makan Bergizi Gratis,Kasihan pak Purbaya beliau orang baik tapi dikelilingi okeh manusia2 LAKNAT YG RAKUS DAN SERAKAH
650,16 hours ago,YouTube,Makan Bergizi Gratis,"KALIAN DI GAJIH SAMA RAKYAT... WOOY PARA ANGGOTA DPR ANJING IBLIS..??? KALIAN ITU DI OTAK NYA CUMAN KORUPSI PARA ANJING"" KALIAN BUKAN NYA PERBAIKI EKONOMI KEKAYAAN ALAM DI KELOLA SAMA RAKYAT SENDIRI JANGAN SLALU DI KASIH KE LUAR LALU DI BELI LAGI SAMA KALIAN WAHAY PARA ANJING KACUNG ASENG DAN ASING BABI"
651,16 hours ago,YouTube,Makan Bergizi Gratis,Jk. Mbg. Berhnti   Persiden. Ganti  saja
652,16 hours ago,YouTube,Makan Bergizi Gratis,Lanjut. Kn. Mbg.
653,16 hours ago,YouTube,Makan Bergizi Gratis,Negara yang tidak sakit adalah negara tidak di demo rakyat nya....
654,16 hours ago,YouTube,Makan Bergizi Gratis,Dpd. Mcam. Pa. Ni
655,16 hours ago,YouTube,Makan Bergizi Gratis,"Siwa, SMP ,SD SMA , Itu sangat membutuhkan MBG Klo Mahasiswa tidak usah dikasih MBG. Kerana Mahasiswa itu Bodoh , Mau dibayar Demo.😂!"
656,16 hours ago,YouTube,Makan Bergizi Gratis,Dukung mbg
657,9 hours ago,YouTube,Makan Bergizi Gratis,kalo haji di stop gak? kan sama sama korupsi
658,52 minutes ago,YouTube,Makan Bergizi Gratis,"​ @Leon-dx4jc sudah didemo belum? Haji penyelenggaranya siapa? Sudah ada protap dan juknis dan aturan baku tidak? Yang menyelewengkan level penyelenggara di negara sana atau level apa? Apakah raja Arab Saudi disana juga turun tangan seperti raja disini yang bilang telur tidak boleh didadar (padahal kondisinya sudah jalan hampir 2 tahun dan sudah terbongkar praktik korupsi) . Menurutmu Luhut bilang kalau SOP nya kurang mampu mengatasi dan perlu ditinjau itu artinya apa? Level duit ratusan Trilyun apakah mau dikelola seperti itu? Menurutmu (jika kau berpendidikan tinggi) maka seharusnya juknis, juklak, sop, prosedurnya seharusnya punya standar seperti apa utk mengelola uang ratusan Trilyun? Apakah menurut level pendidikan yg kamu pelajari sudah mencukupi? Haji penyelenggaranya dan aturannya di arab sana sudah sangat bagus , disini cuman level koordinator. Beda jauh"
659,44 minutes ago,YouTube,Makan Bergizi Gratis,"Satu lagi 😊 korupsi haji di sini pelakunya siapa saja sudah ditangkap semua belum? Korupsi MBG pelakunya siapa saja? Sudah ditangkap semua belum? Uang suap milyaran per hari diperoleh dari yayasan mana saja sudah disiplin beritanya belum? Sudah ada berita yayasan mana saja yang menyuap? Mana saja sppg yang menyuap? Mana saja sppg yg menynat porsi makanan demi menyediakan uang suap? Level yang korupsi apakah cuman bawahan, setahu saja levelnya adalah pucuk pimpinan BGN, yayasan, sppg yang artinya korupsi terjadi di semua level penyelenggaranya sampai ke pucuk pimpinan tertingginya dan saat ini masih diproses di kejaksaan dan belum terungkap semua. Artinya , masih banyak pelaku korupsi yg saat ini masih masuk dalam jajaran penyelenggara
Menurut ilmu pendidikan yg kamu pelajari apakah layak dijalankan?"
660,6 hours ago,YouTube,Makan Bergizi Gratis,proyek mana yg gk ada korupnya pak
661,31 minutes ago,YouTube,Makan Bergizi Gratis,​ @deffdos5319  dia kalo komen gk pake logika 😂
662,8 minutes ago,YouTube,Makan Bergizi Gratis,​ @deffdos5319 kamu spill saja dong proyek mana saja yg kamu curigai atau kamu ketahui ada praktik korupsi. Jgn ikut dgn akun yg sering komentar pendek2 tapi kalah logika debat akhirnya cmn menghina org
663,5 hours ago,YouTube,Makan Bergizi Gratis,Koruptorisme yg sebelum ini juga gak ditangkap kok...
664,4 hours ago,YouTube,Makan Bergizi Gratis,"Subsidi BBM aja korup, hentiin yuk klo berani"
665,34 minutes ago,YouTube,Makan Bergizi Gratis,"​ @sireeris9759 ya kamu spill dong sana ajukan laporan ke aparat. Meskipun sy cenderung setuju dgn ucapanmu tapi kamu harus tahu, sebanyak apapun bukti dan keterangan atau apapun itu semua hanya akan dianggap sebagai dugaan selama pihak otoritas tidak menyatakan itu praktik korupsi. Masih ingat Tiyo dan kritikus lain sewaktu MBG masih proses launch? Mereka semua SDH prediksi apa yg bakal terjadi yg artinya sudah menerapkan ilmu forecasting dan menganjurkan adanya sop ,juklak,juknis dsbnya yg memadai sebelum dilaksanakan. Tapi kamu tahu sendiri Khan kenyataannya seperti apa? Dulu anak2 masih bisa foto2 makanan yg diterima Krn tidak diancam dan dimarahi petugas sppg, skrg. Kita jadi tahu level penyelenggaraannya seperti apa. Ingat, meskipun kamu punya bukti banyak dan valid namun jika negara tidak menyatakan itu praktik korupsi maka itu bukanlah korupsi karena kamu tidak berkuasa untuk menyatakan itu sebagai korupsi"
666,22 minutes ago,YouTube,Makan Bergizi Gratis,"​ @sireeris9759  bangun jalan, bangun gedung, bangun jembatan juga ada indikasi korupsi 😂 tonton aja kdm 😂"
667,15 hours ago,YouTube,Makan Bergizi Gratis,Mendukung MBG berarti MENDUKUNG  KORUPTOR
668,13 hours ago,YouTube,Makan Bergizi Gratis,​ @tasmansindang7323 otak sempit dalam otak nya Taek melulu nich orang
669,9 hours ago,YouTube,Makan Bergizi Gratis,negara yang sakit adalah negara yang buta klo indonesia punya pemda yang selalu dapat anggaran wjwjw
670,5 hours ago,YouTube,Makan Bergizi Gratis,​ @Leon-dx4jc preet ..😅omon
671,15 hours ago,YouTube,Makan Bergizi Gratis," @tasmansindang7323  kata siapa ? sy bukan pejabat,sy cumak pedagang kecil sangat merasakan krna telur yg saya jual dibeli sama MBG"
672,16 hours ago,YouTube,Makan Bergizi Gratis,DPD INI APA PERNAH KUNJUNGAN KE DAERAH 3T? KLO TDK FAHAM DPD DOSA BESAR
673,16 hours ago,YouTube,Makan Bergizi Gratis,"😂😂😂😂 ini anggota DPD dari mana ini, makanya liat kebawah pak MBG itu membuat ekonomi berputar di daerah-daerah.... Mending hapus saja DPD gak jelas juga pungsinya😂😂😂"
674,16 hours ago,YouTube,Makan Bergizi Gratis,"Makan
Beracun
Goplokkk"
675,17 hours ago,YouTube,Makan Bergizi Gratis,Tetap semangat😮😮😮
676,17 hours ago (edited),YouTube,Makan Bergizi Gratis,"Anak anda bisa makan enak pak dari gajih pemerintah juga...
Apa salah nya sekarang uang di makan oleh anak sekolah dasar sampe menengah yg orang tuanya kurang mampu..
Soal korupsi.. orang mau niat korupsi mah pak g cuma di MBG.. di kementerian lagi juga bisa di korupsi.. 
Jangan egois pak, rakyat kecil itu butuh makan ..rugi amat kyk nya BPK ini anak2 makan enak setiap hari'..
Bukan uang pribadi pajak dari bapa aja..itu uang kami dari pajak juga.. jangan suka bawa rakyat rakyat yg mana..saya setuju anak2 bisa makan enak setiap hari..!"
677,17 hours ago,YouTube,Makan Bergizi Gratis,"Demi prut termon yg lapar dan rakus, mati2an d prtahankan, yg kna bncana mau jd pngemis pun no problem 😂😂😂 rezim luck nut"
678,17 hours ago,YouTube,Makan Bergizi Gratis,Kami bukan petani pak...kami petani merasakan betul efek mbg.....
679,17 hours ago,YouTube,Makan Bergizi Gratis,"MBG sarang koruptor, bikin anak-anak keracunan makanan....."
680,17 hours ago,YouTube,Makan Bergizi Gratis,Mending dihapus krn byk yg komplein
681,17 hours ago,YouTube,Makan Bergizi Gratis,MBG investasi Jaka panjang..programnya sangat berlian .Tapi sistemnya sangat kacau penuh korupsi dan nepotisme..
682,17 hours ago,YouTube,Makan Bergizi Gratis,"Bapak ini anaknya enak, kami didaerah perlu mbg, gak ada duit u. Jajan. Lanjutkan"
683,18 hours ago,YouTube,Makan Bergizi Gratis,"Anggaran indonesia ini Ratusan Triliun habis oleh MBG.
Kalau Ratusan Triliun itu di bangunkan ke Jalan perkebunan Masyarakat di Indonesia ini tentu Para Petani bisa mudah angkut Hasil Perkebunan."
684,18 hours ago,YouTube,Makan Bergizi Gratis,"Hentikan selamanya
Buat rakyat susah"
685,19 hours ago,YouTube,Makan Bergizi Gratis,"Orang tidak senang dengan program MBG, paling karena iri tidak mendapat job itu saja. sedikit sedikit bertanggung jawab sama Allah Swt seperti pendakwah saja. mana ada Allah Swt mengurusi MBG, Allah banyak kerjaan tidak cuma ngurusi MBG 😄 . Saya tidak mendapat MBG dan juga bukan pegawai MBG. saya melihat orang bisa bekerja dan mendapat MBG ikur senang saja ( tidak ada unsur apa apa ). MBG tidak perlu di hapus, tapi pengelolaannya saja yang di benahi supaya tertib dan baik itu baru solusi."
686,19 hours ago,YouTube,Makan Bergizi Gratis,"Betul sekali Pak MBG di bubarkan,kenapa anggaran sebesar itu tidak dipakai untuk mencintakan lapangan kerja,biar Prabowo tidak omon2 rakyat bituh makan doank pemikiran yan goblok"
687,19 hours ago,YouTube,Makan Bergizi Gratis,Sistim ny dulu di sempurnakan kalau masih seperti ini korupsi masih melajarela saya setuju deng DPD cek ulang dulu sistem
688,19 hours ago,YouTube,Makan Bergizi Gratis,"Itu yg teriak teriak ,karena gak kebagian jatah sppg😂😂😂"
689,19 hours ago,YouTube,Makan Bergizi Gratis,"Betul pak MBG ga ada gunanya pemborosan kl mau pakai duit kasihkan ke orang tuanya, betul tu idenya hotman paris"
690,19 hours ago,YouTube,Makan Bergizi Gratis,"MBG agar di lanjutkan siswa sekolah sangat membutuhkan,orang kaya mah udah makmur"
691,19 hours ago,YouTube,Makan Bergizi Gratis,"Gak usah MBG ,, sekolah gratis,,gaji guru naik,,,kuliah murah bagi otaknya yg brilian ,, itu aja juga bagus daripada MBG ,,uangnya tiap hari buat gemuk para koruptor aja"
692,5 hours ago,YouTube,Makan Bergizi Gratis,Anda seperti anak kecil yg gak tau uang 100rb trus dituker sama es krim mewah seharga 20rb tp anda pilih es krim.. Ngerti nggak ?
693,33 minutes ago,YouTube,Makan Bergizi Gratis,"emang efeknya apaan bg?? apakah harga2  melambung tinggi,, atau bbm naik,, atau yg mana nih efek yg abg mksd?"
694,2 hours ago,YouTube,Makan Bergizi Gratis,"Harusnya yg dikasih MBG hanya kebawah saja, klo masyarakat menengah keatas jangan dikasih, sisa dananya buat hal yg sangat prioritas.l, Contoh untuk pergerakan ekonomi dan pembangunan jalan."
695,18 hours ago,YouTube,Makan Bergizi Gratis,"Gk usah membawa rakyat,kmu sudah kaya tpi gk pernah mau bantu yg susah disekitarmu"
696,9 hours ago,YouTube,Makan Bergizi Gratis,lu susah karna males wkwk
697,15 hours ago,YouTube,Makan Bergizi Gratis,Yg senang mbg itu cecunguk koruptor
698,15 hours ago,YouTube,Makan Bergizi Gratis,Klo duitnya dikasih ke ortunya .dipastikan Malah gak dipakai untuk peningkatan makan bergizi buat Anak dan tidak menimbulkan efek domino penggerak ekonomi.
699,9 hours ago,YouTube,Makan Bergizi Gratis,ide hotmat? bro hotmat itu tetep dukung prabowo
700,2 hours ago,YouTube,Makan Bergizi Gratis,hentikan MBG  gak guna
701,19 hours ago,YouTube,Makan Bergizi Gratis,MBG waktu kampanye tdk dijanjikan kenapa ngotot. Rakyat milih tertipu.
702,19 hours ago,YouTube,Makan Bergizi Gratis,"Anggota dewan juga tidak peka terhadap bencana alam di Sumatra dan di sulut dll,mereka enak gaji DPR naik,tapi tidak pro rakyat,terbukti program Pak Prabowo Subianto dan mas Gibran mengawal MBG tidak di dukung,padahal MBG untuk rakyat miskin yang tidak mampu menikmati makanan dgn gizi baik"
703,19 hours ago,YouTube,Makan Bergizi Gratis,"Betul itu DPD , MBG ladang korupsi  ,tdk produktif ,pmborosan"". MBG boleh jika negara ini sudah ""MAPAN"" ,sedangkn negara masih morat marit ekonominy ,semua anggaran APBD d pangkas separo jg hny utk MBG  & MBG boleh ttp  khusus utk daerah2 tertinggal ,daerah2 miskin"", itu baru bener..."
704,19 hours ago,YouTube,Makan Bergizi Gratis,MBG itu bagus yang buat jelek pejabat yang korupsi
705,19 hours ago,YouTube,Makan Bergizi Gratis,Bohong PK Purbaya Prabowo GK cerdas tp tolol
706,19 hours ago,YouTube,Makan Bergizi Gratis,"Mbg hanya pake telor, bikin cerdas? Yg cerdas para koruptor😂😂😂😂"
707,19 hours ago,YouTube,Makan Bergizi Gratis,ACEH DAN PADANG TIDAK MEMILIH PRABOWO JUGA TIDAK MEMILIH JOKOWI KETIKA PILPRES JOKOWI DAN PRABOWO SELALU KALAH DI ACEH DAN PADANG KARENA WARGA ACEH DAN PADANG ANTI JAWA DARI JAMAN SUHARTO
708,19 hours ago,YouTube,Makan Bergizi Gratis,Prabowo yg bertanggung jwb dunia akhirat soal MBG...tunggu azab dari Allah
709,19 hours ago (edited),YouTube,Makan Bergizi Gratis,"MBG membuat generasi anak bangsa memiliki IQ tinggi-pintar pintar, ini yg ditakutkan SOROS. jika dialihkan yg mirip dgn konsep BLT maka kemunduran bagi Indonesia. TDK akanmemajukan dlm kecerdasan bangsa. Berilah saranpositif bagaimana pengelolaan MBG lebih baik."
710,19 hours ago,YouTube,Makan Bergizi Gratis,MEREKA IRI MELIHAT ORANG MEMBANTU RAKYAT MISKIN
711,19 hours ago,YouTube,Makan Bergizi Gratis,Dari partai mana tuh orang bego
712,19 hours ago,YouTube,Makan Bergizi Gratis,Stop MBG Krn lahan korupsi
713,19 hours ago,YouTube,Makan Bergizi Gratis,Tutup MBG bagus bapak
714,18 hours ago,YouTube,Makan Bergizi Gratis,"Mosok,yg kmu ikuti kampanya nya siapa 2024 kemarin"
715,5 hours ago,YouTube,Makan Bergizi Gratis,"Ibaratnya kita titip uang 100rb tp kita cuma diberi 20rb sisanya buat penitipan dan teman""nya..
Org yg protes ini ngerti harusnya kita punya 100rb itu klo bisa kembali 100rb syukur"" berbunga jd lbh"
716,24 minutes ago,YouTube,Makan Bergizi Gratis,MBG bukan hanya untuk rakyat miskin tapi rakyat menengah dan keatas pun tetap terima MBG di sekolah-sekola
717,13 hours ago,YouTube,Makan Bergizi Gratis,Nih orang dr Satuan Penjilat Prabowo Gibran. Jilat tuh sampai bersih. Jgn jilat bersih uang pajak rakyat.
718,9 hours ago,YouTube,Makan Bergizi Gratis, @pipitfitriyawati772  emang lu bayar pajak? lu lupa ya kalo indonesia tanpa sda bukan apa apa? wwkw
719,8 hours ago,YouTube,Makan Bergizi Gratis,"MBG cocok hanya murid yang tidak mampu atau daerah terpencil.....

Ini semua murid biar sekolah kaya d ksh jg MBG,, bagaimana mda jebol keuangan negara"
720,19 hours ago,YouTube,Makan Bergizi Gratis,Ini ini ini pemikiran yang blo on harusnya buat menciptakan lapangan pekerjaan biar tidak ada lagi kelaparan.Juga tidak ada korupsi yg buat rakyat muak.Goblok
721,17 hours ago,YouTube,Makan Bergizi Gratis,Termul ya apa saudara sppg
722,10 hours ago,YouTube,Makan Bergizi Gratis,"kau ini sebenarnya ngomong asal jeplak
dan kupastikan kau ini idiot"
723,15 hours ago,YouTube,Makan Bergizi Gratis,"Iq tinggi pintar2 bijimane?ada mbg dan gak ada mbg juga gak ada ngaruhnya buat bikin iq tinggi dan pintar2,,klw mau iq tinggi dan pintar2,noh pendidikan di tingkatkan bukan makan melulu."
724,9 hours ago (edited),YouTube,Makan Bergizi Gratis, @JohnBon-i2p   sama halnya lu doa kaya tapi lu gk usaha wwkwk lu makan gizi tapi lu gk belajar. mbg ladang korupsi harus di hentikan? sama halnya semua program pemerintah seperti haji juga korup harus di hentikan
725,13 hours ago,YouTube,Makan Bergizi Gratis,MBG pakai uang rakyat. Siapa yg bantu orang miskin? kecuali pakai uang pribadi Prabowo & Gibran.
726,9 hours ago,YouTube,Makan Bergizi Gratis, @pipitfitriyawati772  mbg pakai uang rakyat? negara lu tanpa sda bukan apa apa wkwk
727,18 hours ago,YouTube,Makan Bergizi Gratis,MBG masih dalam percobaan jadi kalau ada yg salah wajar
728,17 hours ago,YouTube,Makan Bergizi Gratis,​ @antek_antek_dajjal kuntul
729,7 hours ago,YouTube,Makan Bergizi Gratis,​ @antek_antek_dajjal wajar korupsi😂
730,16 seconds ago,YouTube,Makan Bergizi Gratis,Betul pak setujuu
731,3 minutes ago,YouTube,Makan Bergizi Gratis,Sangat Setuju....Baru tepat sasaran.
732,11 minutes ago,YouTube,Makan Bergizi Gratis,Setuju banget ini....jadi orang lebih ngerti yg pah maonya anak ..KLO MBG kan blm tentu anak tsb selera nya sama
733,19 minutes ago,YouTube,Makan Bergizi Gratis,Mantap bg...
734,21 minutes ago,YouTube,Makan Bergizi Gratis,setuju pk hotman ganti dengan rupiah tunai aja.langsung ke rekening org tua masing2..gk bs di korupsi tuh
735,24 minutes ago,YouTube,Makan Bergizi Gratis,"Kalo uang diserahkan ke ortu nya... Tdk akan dibelikan semua utk anaknya, biasanya utk belanja lainnya, ada juga yg utk judol, beli rokok, nyahur hutang dll, kalo lewat selolahan akn dipotong oleh guru nya"
736,28 minutes ago,YouTube,Makan Bergizi Gratis,Sangat setuju.pak.
737,29 minutes ago,YouTube,Makan Bergizi Gratis,Uang nya di beli kan paket data 😂
738,32 minutes ago,YouTube,Makan Bergizi Gratis,"Bukan ide baru, ahok sdh pernah ngomong."
739,1 hour ago,YouTube,Makan Bergizi Gratis,"Setuju, Krn KLO ttp bertahan dgn MBG makanan, khawatir Prabowo tenggelam dengan program unggulannya itu, Krn terlalu bnyk celah ruang korupsinya ketimbang manfaatnya."
740,1 hour ago,YouTube,Makan Bergizi Gratis,"Setuju ,dari pada di kasih makan GK di makan,lha GK enak masakan nya,"
741,1 hour ago,YouTube,Makan Bergizi Gratis,Betul betul betul  anak sd smp ibu hamil dan bayi
742,1 hour ago,YouTube,Makan Bergizi Gratis,MANTAP BRO HOTMAN. Bravo
743,1 hour ago,YouTube,Makan Bergizi Gratis,"Setuju sekali,lebih bermanfaat dan minim uang dimaling para koruptor biadab"
744,1 hour ago,YouTube,Makan Bergizi Gratis,Masuk
745,1 hour ago (edited),YouTube,Makan Bergizi Gratis,Bapa Prabowo itu sedang mengentaskan pengangguran melalui mbg ini. Mbg adalah peluang bagi NKRI untuk membantu rakyat jika perang dunia ke 3 terjadi. Jadi sebaiknya jngn diganti uang mending diganti yg korupsinya saja .
746,2 hours ago,YouTube,Makan Bergizi Gratis,Kalo mbg diganti uang nanti para pekerja yg menyiapkan mbg pada nganggur dong bang?!
