id,tanggal,platform,topik,teks
35,2 hours ago,YouTube,Makan Bergizi Gratis,Yaa Alloh uang rakyat di hambur2 kan sama pemerintah rusak banget
36,2 hours ago,YouTube,Makan Bergizi Gratis,"MEREKA PADA KEMANA SIH? LUAR BIASA NYA BARU TAU SEKARANG? AH SUDAHLAH, IKAN BUSUK DARI KEPALA"
37,2 hours ago,YouTube,Makan Bergizi Gratis,"Lanjutkan MBG kami petani menik mati pedapatan dari mbg,dan basmi oknum yg nakal,"
38,3 hours ago,YouTube,Makan Bergizi Gratis,"Mestinya pa presiden ..sebagai seorang jendral TNI ..memiliki nyali , keberanian  untuk mengakui kegagalannya mengelola APBN .dan perbaiki kesalahannitu.
Orang yg di cintai dan dianggap jujur , berani ..adalah orang yg dgn gagah berani mengaku kesalahan nya 
Tanpa itu jangan harap  presiden  dapat memperbaiki kerusakan ini.
Jendral ?  ..hmmmm...jendral bermental satpam !"
39,3 hours ago,YouTube,Makan Bergizi Gratis,"MBG harus di bubar kan . Salah satu penyebab mahalnya bahan pokok dan sayuran karena ada nya MBG,,,,,

Heran juga negara ini. Duit dari hasil hutang tapi di gunakan tdk tepat sasaran .. MBG dan koperasi merah putih,,,,,ini adalah ladang korupsi terbesar di sedunia.."
40,3 hours ago,YouTube,Makan Bergizi Gratis,Astaghfirullah 🤮🤮🤮 tidak mbg sppg🚫🚫🚫🚫🚫
41,3 hours ago,YouTube,Makan Bergizi Gratis,"Inflasi semakin mencekik, negara tetap hamburkan uang, koplak 😅"
42,3 hours ago,YouTube,Makan Bergizi Gratis,"Udh dibilang jangan pilih pemimpin joget2, gemoy2 alhasil hancur lebur"
43,3 hours ago,YouTube,Makan Bergizi Gratis,Pocong pun makan mbg😂😂
44,3 hours ago,YouTube,Makan Bergizi Gratis,"Yg benar dapurnya di setiap sekolah setempat ada berapa siswa di sekolah2 itu ada berapa juru masaknya dan libatkan pihak pukesmas masalah gizinya ,tidak usah memakai alat angkut yg memakan uang banyak."
45,3 hours ago,YouTube,Makan Bergizi Gratis,Dari awal sudah ada potensi korupsi tp pemerintah tuli  gak mau mendengar keluhan rakyat
46,3 hours ago,YouTube,Makan Bergizi Gratis,"INI BARU 1 KABUPATEN , JAN KOPLAK, JABANG BAYI , DOH DOH SING ADOH."
47,3 hours ago,YouTube,Makan Bergizi Gratis,"Usuutt tuntass sampe keakar2nyaa..yg buat kebijakann jgn sampee loloss,sangat2 dzolimm kebodohannya,mbg,kdmp,dan program2 laen yg mengurass uang rakyatt"
48,3 hours ago,YouTube,Makan Bergizi Gratis,Semakin besar anggaran semakin besar kemungkinan dikorupsi.... 😢😢😢😢
49,3 hours ago,YouTube,Makan Bergizi Gratis,MBG   manufer  penghianat Prabowo  sengaja dikacaukan agar Prabowo jelek
50,3 hours ago,YouTube,Makan Bergizi Gratis,pastilah didemo (pengusaha2 dapur SPPG+karyawan2nya) itu MBG untuk terus dilanjutkan..😂😂😂
51,3 hours ago,YouTube,Makan Bergizi Gratis,Mbg dan kdmp sangat rawan korupsi dan kebocoran anggaran dalam jumlah JUMBO.
52,3 hours ago,YouTube,Makan Bergizi Gratis,Bayangkan...di Cilacap aja ada 100 SPPG Fiktif...belum di daerah=daerah terpencil lain di indonesia...wajar jika Dadan bisa setor 2 T ke mantan yang amat sangat culas dan rakus
53,3 hours ago (edited),YouTube,Makan Bergizi Gratis,"Apa dia pikir dengan asal perintah, program akan langsung jalan mulus ya? Tiba2 aja gt dadakan ? Konyol banget....terus disangkanya dengan perintah saja, dibangunkan saja gedungnya koperasi bakal jalan ???? Hadeuhhhh dangkal banget otaknya."
54,3 hours ago,YouTube,Makan Bergizi Gratis,dari 10+6 aja udah bisa disimpulkan
55,3 hours ago,YouTube,Makan Bergizi Gratis,Program yg Joss 😂😂
56,4 hours ago,YouTube,Makan Bergizi Gratis,Setuju makanan kurang higenis karna di kejar waktu bukan seteril malah penyakit yang ada
57,4 hours ago,YouTube,Makan Bergizi Gratis,Tdak ada kata lain MBG HENTIKAN TOTAL!!!!! Kalu Prabowo ngotot.... Ceos yg ada
58,4 hours ago,YouTube,Makan Bergizi Gratis,"5:30 sya kira dulu begitu dikelola masing2 komunitas sekolah.
Ada yg bilang rawan penyalahgunaan anggaran, sentralisasi juga bocor kan😅
Biar sekolah masing2 yg urus"
59,4 hours ago,YouTube,Makan Bergizi Gratis,makin parah korupsinya demi termul termul ...
60,4 hours ago,YouTube,Makan Bergizi Gratis,"Sppg fiktif sama juga kdmp pasti ada fiktif,Krn pemerintah pusat hanya lihat titik tpi TDK cek wujudnya,asal bayar sj😂😂"
61,3 hours ago,YouTube,Makan Bergizi Gratis,Makanan index 6 rb yg sampai ke anak2 itu Bos
62,4 hours ago,YouTube,Makan Bergizi Gratis,"mas klo di kasihkan berupa makanan matengan / siap santap, masa aja. Pasti ada di koropsi yg bersangkutzn / pengelola. Klo setuju stop saj MBG seterus nya."
63,4 hours ago,YouTube,Makan Bergizi Gratis,"UDH DIBILANG MAHASIWA HENTIKAN DULU MBG ROMBAK SEMUA YA MENGHINDARI HAL KAYA GINI DAPUR FIKTIF SELAMA SETAHUN
HANCUR APBN BERUJUNG RAKYAT GAMAU BAYAR PAJAK"
64,4 hours ago,YouTube,Makan Bergizi Gratis,Disengaja untuk mendulang biaya politik
65,4 hours ago,YouTube,Makan Bergizi Gratis,"udah saatnya Indonesia mengurangi jumlah parpol.. makin banyak parpol,. makin gila-gilaan korupsi"
66,4 hours ago,YouTube,Makan Bergizi Gratis,Tutup
67,4 hours ago,YouTube,Makan Bergizi Gratis,mbg tambah ruwer guru murid bubar kan aja di ganti uang aja pada anak skolah yg tidak mampu lebih efektif  biaya murah kok banyaken cingcong bubar kan beres
68,4 hours ago,YouTube,Makan Bergizi Gratis,PROGRAM YG MERUGIKAN KEUANGAN NEGARA DAN TIDAK BERMANFAAT BAGI RAKYAT INDONESIA..  MBG DAN KOPDES MERAH PUTIH WAJIB SEGERA DI HENTIKAN . PADAHAL SUDAH DI DEMO OLEH MAHASISWA TAPI PRABOWO TETAP MAKSA MELANJUTKAN PROGRAM MBG..
69,4 hours ago,YouTube,Makan Bergizi Gratis,Pemerintah budeg sebudeg budegnya
70,4 hours ago,YouTube,Makan Bergizi Gratis,"Klwpun,g,di,hentikan,ksih,aja,uangnya,ke,guru2,,biar,di,pesankanan,sama,pemilik,warung,terdekat,itu,lebih,baik"
71,4 hours ago,YouTube,Makan Bergizi Gratis,"Transfer aja ke masing siswa 10rebu per hari, siswanya juga harus keluarha ekonomi ga mampu. Bisa lakikan pengecekan oleh petugas dulu apakah keluarga nya mampu apa tidak dengan cara cek rek, cek aset, rek listrik. Ataupun house visit. Dibatasi sampai SD saja. Yakin ini program dibawag 50 triliun doang. Bahkan bisa cuma 30 t"
72,4 hours ago,YouTube,Makan Bergizi Gratis,"Buktinya,dri,dlu,anak2,desa,alhmdulilah,sehat,smua,sampai,lulus,Mlah,smpai,kuliah,g,ad,yg,keracunan,jajanan,di,sekolah2"
73,4 hours ago,YouTube,Makan Bergizi Gratis,"Udah di level kayanya percuma deh kasih masukan ke pemerintah ujung2nya si pengkritik dibilang “antek asing” “dibayar” capek ,, padahal kita semua sayang sama pemerintah pengen punya pemerintah yang menyejahterakan,, 😢"
74,4 hours ago,YouTube,Makan Bergizi Gratis,upeti kami di makan tikus BGN
75,4 hours ago,YouTube,Makan Bergizi Gratis,"Yang jelas ini ladang korupsi Krn pengawasan lemah,,,dg bukti banyak temuan dilapangan tetapi tindakan lambat,,,,,negeri amburadul,,,masukan dan saran Tokoh, Rakyat, Mahasiswa tidak didengar,,,"
76,4 hours ago,YouTube,Makan Bergizi Gratis,"Sya,stju,skli,klw,ganti,dg,uang,biar,hnya,10,,,sehari"
77,4 hours ago,YouTube,Makan Bergizi Gratis,"Ini,di,jwa,timur,ibu2,,,dri,wali,murid,sudah,bosan,Krena,anak2,sudah,bosan,dg,mbg,di,skolah,JD,syang,klw,g,dikan,mka,lbih,baik,di,tutup,aj,ksih,uangnya,sja,lbih,aman,dn,jelass,gtu"
78,4 hours ago,YouTube,Makan Bergizi Gratis,Mbg jangan di perbaiki tapi hentikan. Tiadakan mbg seperti sebelum adanya lebih baik.
79,4 hours ago,YouTube,Makan Bergizi Gratis,Bukan program nya yang salah tapi manusianya yang rakus
80,4 hours ago (edited),YouTube,Makan Bergizi Gratis,Sebelum pelaku korupsi di hukum mati dari pusat sampai desa negara ngga akan maju. Sekalipun muslim  tapi tidak takut akhirat. Jadi yg tepat di berlakukan di indonesia korupsi di hukum mati baru pelaku korupsi takut.  Maka uang aman dg sendirinya negara baru maju.
81,4 hours ago,YouTube,Makan Bergizi Gratis,"Utk level sakit Indonesia saat ini, hukuman mati utk koruptor sepertinya sdh boleh di jalankan, para koruptor adalah pelanggar HAM berat"
82,4 hours ago,YouTube,Makan Bergizi Gratis,"Ga heran . . di t4 gw ada SPPG, tp gaada kegiatan sama sekali"
83,4 hours ago,YouTube,Makan Bergizi Gratis,Jawabannya SIBAPA simple EMANG GUE PIKIRIN....teriak teriak bocor tapi lubangnya ditambah lagi...mungkin beliau udah tua jadi balik lagi kayak bocil
84,4 hours ago,YouTube,Makan Bergizi Gratis,SEMAKIN MARAK JABATAN FIKTIF PROYEK FIKTIF KASUS FIKTIF GAJI FIKTIF BANTUAN FIKTIF ITU MODUS KORUPSI MANIPULASI YG BANYAK DI PEMERINTAHAN
85,4 hours ago,YouTube,Makan Bergizi Gratis,"Mohon presiden Prabowo merubah mekanisme MBG menjadi seperti KIP kartu Indonesia pintar.
Beri anak pelajar Kartu Makan Bergizi. Negara subsidi makan siang sebesar 15.000Rp dengan mengambil lewat ATM bank BRI. Lalu ibunya anak yang memasak atau membelikan nasi rames bergizi harga Rp15.000 sesuai selera makan anaknya."
